date,official,mep,ccl,blue
01/12/2022,175.0,318.57,323.72,313.0
02/12/2022,175.0,318.67,327.0,312.0
03/12/2022,175.0,318.67,327.0,312.0
04/12/2022,175.0,318.67,327.0,312.0
05/12/2022,176.0,319.11,330.47,312.0
06/12/2022,177.0,328.88,340.4,315.0
07/12/2022,177.0,328.98,338.09,316.0
08/12/2022,177.0,328.98,338.09,316.0
09/12/2022,177.0,328.98,338.09,316.0
10/12/2022,177.0,328.98,338.09,316.0
11/12/2022,177.0,328.98,338.09,316.0
12/12/2022,179.0,322.35,332.38,312.0
13/12/2022,179.0,323.36,333.68,315.0
14/12/2022,179.0,322.7,330.13,320.0
15/12/2022,179.0,320.1,332.67,320.0
16/12/2022,180.0,320.1,332.31,321.0
17/12/2022,180.0,320.1,332.31,321.0
18/12/2022,180.0,320.1,332.31,321.0
19/12/2022,181.0,320.89,332.43,325.0
20/12/2022,181.0,325.01,331.58,326.0
21/12/2022,181.0,322.87,332.95,325.0
22/12/2022,181.0,324.25,333.48,330.0
23/12/2022,182.0,325.71,333.16,340.0
24/12/2022,182.0,325.71,333.16,340.0
25/12/2022,182.0,325.71,333.16,340.0
26/12/2022,183.0,327.62,334.85,346.0
27/12/2022,183.0,335.39,337.49,356.0
28/12/2022,184.0,331.63,346.15,357.0
29/12/2022,184.0,334.36,340.5,350.0
30/12/2022,185.0,327.94,344.13,346.0
31/12/2022,185.0,327.94,344.13,346.0
01/01/2023,185.0,327.94,344.13,346.0
02/01/2023,185.0,329.21,344.88,346.0
03/01/2023,186.0,330.7,344.44,354.0
04/01/2023,186.0,334.93,339.48,354.0
05/01/2023,186.0,332.67,342.16,353.0
06/01/2023,187.0,329.91,338.92,354.0
07/01/2023,187.0,329.91,338.92,354.0
08/01/2023,187.0,329.91,338.92,354.0
09/01/2023,188.0,327.17,333.97,355.0
10/01/2023,188.0,325.87,331.97,357.0
11/01/2023,188.0,327.7,336.96,359.0
12/01/2023,188.0,342.38,343.57,361.0
13/01/2023,189.0,340.23,349.26,369.0
14/01/2023,189.0,340.23,349.26,369.0
15/01/2023,189.0,340.23,349.26,369.0
16/01/2023,189.0,344.03,356.38,370.0
17/01/2023,190.0,341.89,362.19,378.0
18/01/2023,190.0,340.3,351.82,377.0
19/01/2023,190.0,332.83,355.41,374.0
20/01/2023,191.0,352.52,360.98,376.0
21/01/2023,191.0,352.52,360.98,376.0
22/01/2023,191.0,352.52,360.98,376.0
23/01/2023,192.0,352.21,363.19,376.0
24/01/2023,192.0,353.85,360.03,381.0
25/01/2023,192.0,351.98,365.99,383.0
26/01/2023,193.0,352.22,369.39,385.0
27/01/2023,193.0,352.78,370.39,386.0
28/01/2023,193.0,352.78,370.39,386.0
29/01/2023,193.0,352.78,370.39,386.0
30/01/2023,194.0,353.93,369.52,383.0
31/01/2023,194.0,354.81,367.42,381.0
01/02/2023,195.0,353.7,367.07,377.0
02/02/2023,195.0,354.75,366.83,378.0
03/02/2023,195.0,357.36,362.95,379.0
04/02/2023,195.0,357.36,362.95,379.0
05/02/2023,195.0,357.36,362.95,379.0
06/02/2023,197.0,353.94,365.71,377.0
07/02/2023,197.0,353.2,366.16,377.0
08/02/2023,197.0,354.95,366.13,381.0
09/02/2023,197.0,354.36,371.6,379.0
10/02/2023,198.0,354.15,371.23,377.0
11/02/2023,198.0,354.15,371.23,377.0
12/02/2023,198.0,354.15,371.23,377.0
13/02/2023,199.0,355.27,370.87,379.0
14/02/2023,199.0,355.28,369.82,379.0
15/02/2023,199.0,356.23,368.52,378.0
16/02/2023,200.0,357.61,370.02,377.0
17/02/2023,201.0,355.59,369.8,377.0
18/02/2023,201.0,355.59,369.8,377.0
19/02/2023,201.0,355.59,369.8,377.0
20/02/2023,201.0,355.59,369.8,377.0
