day,type,value_buy,value_sell
2023-12-22,Oficial,786.00,844.00
2023-12-22,Blue,945.00,995.00
2023-12-21,Oficial,786.00,843.00
2023-12-21,Blue,940.00,990.00
2023-12-20,Oficial,785.00,841.00
2023-12-20,Blue,945.00,995.00
2023-12-19,Oficial,785.00,841.00
2023-12-19,Blue,945.00,995.00
2023-12-18,Oficial,785.00,840.00
2023-12-18,Blue,935.00,985.00
2023-12-15,Oficial,783.00,838.00
2023-12-15,Blue,920.00,970.00
2023-12-14,Oficial,778.00,838.00
2023-12-14,Blue,940.00,990.00
2023-12-13,Oficial,774.00,833.00
2023-12-13,Blue,1020.00,1070.00
2023-12-12,Oficial,453.00,588.00
2023-12-12,Blue,1020.00,1070.00
2023-12-11,Oficial,382.00,462.00
2023-12-11,Blue,950.00,1000.00
2023-12-08,Oficial,382.00,400.00
2023-12-08,Blue,940.00,990.00
2023-12-07,Oficial,371.00,391.00
2023-12-07,Blue,940.00,990.00
2023-12-06,Oficial,361.00,381.00
2023-12-06,Blue,905.00,955.00
2023-12-05,Oficial,361.00,381.00
2023-12-05,Blue,860.00,910.00
2023-12-04,Oficial,360.00,380.00
2023-12-04,Blue,880.00,930.00
2023-12-01,Oficial,359.00,379.00
2023-12-01,Blue,905.00,955.00
2023-11-30,Oficial,358.00,378.00
2023-11-30,Blue,855.00,905.00
2023-11-29,Oficial,358.00,378.00
2023-11-29,Blue,875.00,925.00
2023-11-28,Oficial,358.00,378.00
2023-11-28,Blue,895.00,945.00
2023-11-27,Oficial,357.00,377.00
2023-11-27,Blue,940.00,999.00
2023-11-24,Oficial,355.00,375.00
2023-11-24,Blue,945.00,995.00
2023-11-23,Oficial,355.00,375.00
2023-11-23,Blue,995.00,1045.00
2023-11-22,Oficial,354.00,374.00
2023-11-22,Blue,1030.00,1080.00
2023-11-21,Oficial,354.00,374.00
2023-11-21,Blue,1025.00,1075.00
2023-11-20,Oficial,352.00,372.00
2023-11-20,Blue,900.00,950.00
2023-11-17,Oficial,352.00,372.00
2023-11-17,Blue,900.00,950.00
2023-11-16,Oficial,351.00,371.00
2023-11-16,Blue,900.00,950.00
2023-11-15,Oficial,351.00,371.00
2023-11-15,Blue,920.00,970.00
2023-11-14,Oficial,348.00,368.00
2023-11-14,Blue,875.00,925.00
2023-11-13,Oficial,348.00,368.00
2023-11-13,Blue,875.00,925.00
2023-11-10,Oficial,348.00,368.00
2023-11-10,Blue,910.00,960.00
2023-11-09,Oficial,348.00,368.00
2023-11-09,Blue,900.00,950.00
2023-11-08,Oficial,348.00,368.00
2023-11-08,Blue,840.00,890.00
2023-11-07,Oficial,348.00,368.00
2023-11-07,Blue,840.00,890.00
2023-11-06,Oficial,348.00,368.00
2023-11-06,Blue,875.00,925.00
2023-11-03,Oficial,348.00,368.00
2023-11-03,Blue,875.00,925.00
2023-11-02,Oficial,348.00,368.00
2023-11-02,Blue,875.00,925.00
2023-11-01,Oficial,348.00,368.00
2023-11-01,Blue,865.00,915.00
2023-10-31,Oficial,348.00,368.00
2023-10-31,Blue,870.00,920.00
2023-10-30,Oficial,348.00,368.00
2023-10-30,Blue,920.00,970.00
2023-10-27,Oficial,348.00,368.00
2023-10-27,Blue,940.00,990.00
2023-10-26,Oficial,348.00,368.00
2023-10-26,Blue,930.00,980.00
2023-10-25,Oficial,348.00,368.00
2023-10-25,Blue,950.00,1000.00
2023-10-24,Oficial,348.00,368.00
2023-10-24,Blue,1050.00,1100.00
2023-10-23,Oficial,348.00,368.00
2023-10-23,Blue,1050.00,1100.00
2023-10-20,Oficial,348.00,368.00
2023-10-20,Blue,880.00,900.00
2023-10-19,Oficial,347.00,367.00
2023-10-19,Blue,880.00,900.00
2023-10-18,Oficial,348.00,368.00
2023-10-18,Blue,885.00,905.00
2023-10-17,Oficial,348.00,368.00
2023-10-17,Blue,965.00,985.00
2023-10-16,Oficial,347.00,367.00
2023-10-16,Blue,960.00,980.00
2023-10-13,Oficial,347.00,367.00
2023-10-13,Blue,960.00,980.00
2023-10-12,Oficial,347.00,367.00
2023-10-12,Blue,960.00,980.00
2023-10-11,Oficial,347.00,367.00
2023-10-11,Blue,990.00,1010.00
2023-10-10,Oficial,347.00,367.00
2023-10-10,Blue,990.00,1010.00
2023-10-09,Oficial,347.00,367.00
2023-10-09,Blue,935.00,945.00
2023-10-06,Oficial,347.00,367.00
2023-10-06,Blue,870.00,880.00
2023-10-05,Oficial,347.00,367.00
2023-10-05,Blue,833.00,843.00
2023-10-04,Oficial,347.00,367.00
2023-10-04,Blue,833.00,843.00
2023-10-03,Oficial,347.00,367.00
2023-10-03,Blue,800.00,810.00
2023-10-02,Oficial,347.00,367.00
2023-10-02,Blue,790.00,800.00
2023-09-29,Oficial,347.00,367.00
2023-09-29,Blue,790.00,800.00
2023-09-28,Oficial,347.00,367.00
2023-09-28,Blue,780.00,790.00
2023-09-27,Oficial,347.00,367.00
2023-09-27,Blue,763.00,773.00
2023-09-26,Oficial,347.00,367.00
2023-09-26,Blue,748.00,758.00
2023-09-25,Oficial,347.00,367.00
2023-09-25,Blue,735.00,745.00
2023-09-22,Oficial,347.00,367.00
2023-09-22,Blue,735.00,745.00
2023-09-21,Oficial,347.00,367.00
2023-09-21,Blue,735.00,745.00
2023-09-20,Oficial,347.00,367.00
2023-09-20,Blue,725.00,735.00
2023-09-19,Oficial,347.00,367.00
2023-09-19,Blue,730.00,740.00
2023-09-18,Oficial,347.00,367.00
2023-09-18,Blue,728.00,738.00
2023-09-15,Oficial,347.00,367.00
2023-09-15,Blue,720.00,730.00
2023-09-14,Oficial,347.00,367.00
2023-09-14,Blue,712.00,722.00
2023-09-13,Oficial,347.00,367.00
2023-09-13,Blue,725.00,735.00
2023-09-12,Oficial,347.00,367.00
2023-09-12,Blue,720.00,730.00
2023-09-11,Oficial,347.00,367.00
2023-09-11,Blue,707.00,717.00
2023-09-08,Oficial,347.00,367.00
2023-09-08,Blue,700.00,710.00
2023-09-07,Oficial,347.00,367.00
2023-09-07,Blue,710.00,720.00
2023-09-06,Oficial,347.00,367.00
2023-09-06,Blue,710.00,720.00
2023-09-05,Oficial,347.00,367.00
2023-09-05,Blue,715.00,725.00
2023-09-04,Oficial,347.00,367.00
2023-09-04,Blue,720.00,730.00
2023-09-01,Oficial,347.00,367.00
2023-09-01,Blue,720.00,730.00
2023-08-31,Oficial,357.00,367.00
2023-08-31,Blue,725.00,735.00
2023-08-30,Oficial,357.00,367.00
2023-08-30,Blue,730.00,740.00
2023-08-29,Oficial,357.00,367.00
2023-08-29,Blue,740.00,750.00
2023-08-28,Oficial,357.00,367.00
2023-08-28,Blue,728.00,738.00
2023-08-25,Oficial,357.00,367.00
2023-08-25,Blue,720.00,730.00
2023-08-24,Oficial,357.00,367.00
2023-08-24,Blue,715.00,725.00
2023-08-23,Oficial,357.00,367.00
2023-08-23,Blue,725.00,735.00
2023-08-22,Oficial,357.00,367.00
2023-08-22,Blue,717.00,727.00
2023-08-21,Oficial,357.00,367.00
2023-08-21,Blue,710.00,720.00
2023-08-18,Oficial,357.00,367.00
2023-08-18,Blue,710.00,720.00
2023-08-17,Oficial,357.00,367.00
2023-08-17,Blue,750.00,760.00
2023-08-16,Oficial,357.00,367.00
2023-08-16,Blue,770.00,780.00
2023-08-15,Oficial,357.00,367.00
2023-08-15,Blue,720.00,730.00
2023-08-14,Oficial,356.00,366.00
2023-08-14,Blue,665.00,685.00
2023-08-11,Oficial,290.00,300.00
